NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
9612021	Public Health	16364.0	yes	12.0	16364.0		12.0	yes	16364.0	yes	hybrid or gold		
101581613	Biomedical Engineering	21321.0	yes	12.0	21321.0		12.0	yes	21321.0	yes	hybrid or gold		
101581613	Technology	21321.0	yes	12.0	21321.0		12.0	yes	21321.0	yes	hybrid or gold		
0370424	Chemistry												
1256347	Genetics, Medical												
8601071	Allergy and Immunology												
8601071	Neoplasms												
0370425	Allergy and Immunology												
7909203	Biochemistry												
0370427	Internal Medicine												
9918523075306676	Nephrology												
100960029	Behavioral Sciences												
100960029	Social Sciences												
0000262	Biochemistry												
0370431	Biology												
9885358	Biophysics	229.0	yes	12.0	229.0		12.0	yes	229.0	yes	hybrid or gold		
9885358	Chemistry	229.0	yes	12.0	229.0		12.0	yes	229.0	yes	hybrid or gold		
101276222	Medicine	26400.0	yes	12.0	26400.0		12.0	yes	26400.0	yes	hybrid or gold		
0370430	Metabolism												
0117147	Microbiology												
9813115	Complementary Therapies												
7611906	Anatomy												
8000285	Cardiology												
101125644	Perinatology	8705.0	yes	0.0	8705.0	0.0	12.0	yes	8705.0	yes	hybrid or gold		
0311622	Nephrology												
101571545	Neurology												
9108376	Allergy and Immunology												
0367524	Neurology												
101549550	Nursing												
9892010	Nursing												
101540874	Nutritional Sciences	25273.0	yes	0.0	25273.0	0.0	0.0	yes					
7802764	Nutritional Sciences												
8213022	General Surgery												
8213022	Ophthalmology												
0263212	Ophthalmology												
0000261	Dentistry												
0242534	Otolaryngology												
0370435	Parasitology												
7511090	Pathology												
0370436	Pediatrics	3176.0	yes	12.0	3176.0		12.0	yes	3176.0	yes	hybrid or gold		
8803391	Communicable Diseases												
8803391	Pediatrics												
9104803	Nephrology												
0040024	Pharmacy												
9015397	Pharmacology												
0236563	Pharmacology												
0237113	Drug Therapy												
0237113	Pharmacology												
100913944	Education	7389.0	yes	12.0	7389.0		12.0	yes	7389.0	yes	hybrid or gold		
100913944	Physiology	7389.0	yes	12.0	7389.0		12.0	yes	7389.0	yes	hybrid or gold		
7513751	Reproductive Medicine												
9515177	Nursing												
9442478	Nursing												
8211444	Endocrinology												
7610366	Biochemistry												
0116732	Biochemistry												
101497281	Biochemistry												
101497281	Biology												
0337407	Biology												
0337407	Psychology												
0101303	Psychiatry												
9433799	Nephrology												
7513188	Reproductive Medicine												
101697329	Allergy and Immunology	41771.0	yes	0.0	41771.0	0.0	0.0	yes				No	yes
101697329	Pulmonary Medicine	41771.0	yes	0.0	41771.0	0.0	0.0	yes				No	yes
101734172	Rheumatology	35191.0	yes	0.0	35191.0	0.0	0.0	yes				No	yes
0370412	Science												
101664569	Biomedical Engineering	31051.0	yes	0.0	31051.0	0.0	0.0	yes				No	yes
8807408	Biochemistry												
8807408	Metabolism												
7504908	Endocrinology												
7504908	Reproductive Medicine												
7908298	Traumatology												
100911021	Nursing	8707.0	yes	0.0	8707.0	0.0	12.0	yes	8707.0	yes	hybrid or gold		
0410245	Dentistry												
9316462	Aerospace Medicine												
9316462	Biology												
9878935	Aerospace Medicine												
1251746	Biochemistry												
1251746	Pharmacology												
0045335	General Surgery	3177.0	yes	12.0	3177.0		12.0	yes	3177.0	yes	hybrid or gold		
7501064	Neurosurgery												
8611864	Therapeutics	16365.0	yes	12.0	16365.0		12.0	yes	16365.0	yes	hybrid or gold		
0347575	Pulmonary Medicine												
9714525	Veterinary Medicine												
0216704	Veterinary Medicine												
0216540	Veterinary Medicine												
0370441	Virology												
9432971	Nursing												
101590593	Traumatology	37035.0	yes	0.0	37035.0		0.0	yes	37035.0	yes	hybrid or gold		
8217118	Toxicology												
9109474	Toxicology												
0373063	Aerospace Medicine												
100971388	Aerospace Medicine												
7501696	Aerospace Medicine												
101654770	Aerospace Medicine												
9707469	General Surgery	193.0	yes	12.0	193.0		12.0	yes	193.0	yes	hybrid or gold		
7701756	General Surgery	16219.0	yes	12.0	16219.0		12.0	yes					
8813229	Dentistry												
101149451	Health Services												
101149451	Medicine												
101146510	Acquired Immunodeficiency Syndrome	12171.0	yes	0.0	12171.0	0.0	12.0	yes					
9439497	Medicine												
7801013	Medicine												
7801013	Tropical Medicine												
7611908	Medicine												
101255062	General Surgery	1910.0	yes	0.0	1910.0	0.0	0.0	yes				No	yes
101255062	Pediatrics	1910.0	yes	0.0	1910.0	0.0	0.0	yes				No	yes
101520860	Primary Health Care	19569.0	yes	0.0	19569.0	0.0	0.0	yes				Yes	yes
7802295	Psychiatry												
101465030	Psychiatry												
9712263	Reproductive Medicine												
101232990	Complementary Therapies												
101250497	Geriatrics												
0375655	Geriatrics	1334.0	yes	12.0	1334.0		12.0	yes	1334.0	yes	hybrid or gold		
101128963	Geriatrics	10457.0	yes	12.0	10457.0		12.0	yes	10457.0	yes	hybrid or gold		
0213341	Pharmacology												
7801014	Pharmacology												
7502265	Behavioral Sciences	13815.0	yes	12.0	13815.0		12.0	yes	13815.0	yes	hybrid or gold		
101508617	Geriatrics	25549.0	yes	0.0	25549.0	0.0		yes					
9102503	Geriatrics												
101130839	Cell Biology	80.0	yes	0.0	80.0	0.0	0.0	yes				No	yes
101132995	Geriatrics	27957.0	yes	12.0	27957.0		12.0	yes	27957.0	yes	hybrid or gold		
7910857	Geriatrics												
9808210	Geriatrics	1008.0	yes	0.0	1008.0	0.0	0.0	yes				No	yes
9705773	Geriatrics	4914.0	yes	12.0	4914.0		12.0	yes	4914.0	yes	hybrid or gold		
9705773	Psychology	4914.0	yes	12.0	4914.0		12.0	yes	4914.0	yes	hybrid or gold		
101128131	Geriatrics												
0321470	Nursing												
0121575	Psychophysiology												
9426197	Neurology												
