NlmUniqueID	Title	MedlineTA	PublicationInfo/Country	PublicationInfo/Place	PublicationInfo/Publisher	PublicationInfo/PublicationFirstYear	PublicationInfo/PublicationEndYear	PublicationInfo/Frequency	ISSN[@IssnType="Electronic"]	ISSN[@IssnType="Print"]	ISSNLinking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	
2984283R	Acta chirurgica Academiae Scientiarum Hungaricae	Acta Chir Acad Sci Hung	Hungary	Budapest	Akadémiai Kiadó.	1960	1982	Quarterly		0001-5431	0001-5431	mul	N		N	N	IM		Y	
0370571	Acta chirurgica Belgica	Acta Chir Belg	England	London	Taylor & Francis	1946		Bimonthly		0001-5458	0001-5458	fre	N	1965	Y	Y	IM	http://www.tandfonline.com/loi/tacb20	Y	
8309977	Acta chirurgica Hungarica	Acta Chir Hung	Hungary	Budapest	Akadémiai Kiadó	1983	1999	Quarterly		0231-4614	0231-4614	eng	N		N	N	IM		Y	
0370303	Acta chirurgica Italica	Acta Chir Ital	Italy	Padua	Editrice La Garangola	1954		Three no. a year		0001-5466	0001-5466	ita	N		N	N	IM		Y	
0372631	Acta chirurgica Iugoslavica	Acta Chir Iugosl	Serbia	Skopje	Udruzenje Hirurga Jugoslavije	1954		Two no. a year		0354-950X	0354-950X	hrv	N		N	N	IM		Y	
0407123	Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir Orthop Traumatol Cech	Czech Republic	Praha	Scientia Medica	1950		Bimonthly		0001-5415	0001-5415	cze	N	1965	Y	Y	IM	http://www.achot.cz/vydanacisla.php	Y	
14530010R	Acta chirurgica Patavina	Acta Chir Patav	Italy	[Padova]		1944	1953					und	N		N	N	OM		Y	
0370301	Acta chirurgiae plasticae	Acta Chir Plast	Czech Republic	Praha	Galen Prague	1959		Four no. a year	1805-4404	0001-5423	0001-5423	eng	N	1965	Y	N	IM		Y	
7906530	Acta chirurgica Scandinavica	Acta Chir Scand	Sweden	Stockholm	Society for the Publication of Acta Chirurgica Scandinavica ;	1920	1990	Ten no. a year		0001-5482	0001-5482	eng	N		N	N	IM		Y	
0370305	Acta chirurgica Scandinavica. Supplementum	Acta Chir Scand Suppl	Sweden	Stockholm [etc.]	Society for the Publication of Acta Chirurigica Scandinavica ;	1922	1991	Irregular		0301-1860	0301-1860	eng	N		N	N	IM		Y	
