NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ	year_founded	year_reverse_flipped	journal_location	society_affiliation	other_sci_affiliation	flipped_journal_name	post_flip_publisher	flipped_access_model	apc_pre	apc_post	apc_now	discipline	flipped_oa	flipped_born_oa	flipped_embargo	Reverse_Flip	not_oa_not_hybrid
9002873	AIDS education and prevention : official publication of the International Society for AIDS Education	AIDS Educ Prev	United States	[New York, NY	Guilford Publications	1989		Bimonthly	1943-2755	0899-9546	0899-9546	eng	N	1989.0	Y	Y	IM	http://guilfordjournals.com/loi/aeap	Y	1943-2755																																										yes
101134876	AIDS reviews	AIDS Rev	Spain	Barcelona, Spain	Permanyer Publications	1999		Quarterly	1698-6997	1139-6121	1139-6121	eng	N	2002.0	Y	Y	IM	http://www.aidsreviews.com	Y	1698-6997																																										yes
7708173	AJR. American journal of roentgenology	AJR Am J Roentgenol	United States	Leesburg, VA	American Roentgen Ray Society	1976		Monthly	1546-3141	0361-803X	0361-803X	eng	N	1976.0	Y	Y	IM	http://www.ajronline.org/loi/ajr	Y	1546-3141																																										yes
8804836	Alcohol and alcoholism (Oxford, Oxfordshire). Supplement	Alcohol Alcohol Suppl	England	Oxford	Oxford University Press	1987		Irregular		1358-6173	1358-6173	eng	N	1987.0	Y	Y	IM	https://academic.oup.com/alcalc/	Y	1358-6173																																										yes
101594475	Alcohol research : current reviews	Alcohol Res	United States	[Bethesda, MD]	National Institute on Alcohol Abuse and Alcoholism	2012		Quarterly	2169-4796	2168-3492	2168-3492	eng	Y	2012.0	Y	Y	IM	http://www.ncbi.nlm.nih.gov/pmc/journals/2195/	Y	2169-4796																																										yes
9812842	The Alkaloids. Chemistry and biology	Alkaloids Chem Biol	United States	San Diego	Academic Press	1998		Irregular		1099-4831	1099-4831	eng	N	2001.0	Y	Y	IM	http://www.sciencedirect.com/science/bookseries/10994831	Y	1099-4831																																										yes
9603640	Allergy and asthma proceedings	Allergy Asthma Proc	United States	Providence, R.I.	OceanSide Publications	1996		Bimonthly	1539-6304	1088-5412	1088-5412	eng	Y	1996.0	Y	Y	IM	http://www.ingentaconnect.com/content/ocean/aap	Y	1539-6304																																										yes
9502013	Alternative therapies in health and medicine	Altern Ther Health Med	United States	Aliso Viejo, CA	InnoVision Communications	1995		Bimonthly		1078-6791	1078-6791	eng	N	1996.0	Y	N	IM		Y	1078-6791																																										yes
1272646	American family physician	Am Fam Physician	United States	Kansas City, Mo.	American Academy of General Practice.	1970		Monthly,	1532-0650	0002-838X	0002-838X	eng	N	1970.0	Y	Y	IM	https://www.aafp.org/journals/afp.html	Y	1532-0650																																										yes
100970957	American Indian and Alaska native mental health research (Online)	Am Indian Alsk Native Ment Health Res	United States	[Denver, Colo.]	National Center for American Indian and Alaska Native Mental Health Research	1999		Three times a year	1533-7731		1533-7731	eng	Y	2000.0	Y	Y	IM	http://www.ucdenver.edu/academics/colleges/PublicHealth/research/centers/CAIANH/journal/Pages/PastVolumes.aspx	Y	1533-7731																																										yes
101489566	The American journal of case reports	Am J Case Rep	United States	Smithtown, NY	International Scientific Information, Inc.	2008			1941-5923		1941-5923	eng	N	2014.0	Y	Y	IM	http://www.amjcaserep.com/	Y	1941-5923																																										yes
8207754	American journal of clinical oncology	Am J Clin Oncol	United States	Hagerstown, MD	Lippincott Williams & Wilkins	1982		Monthly,	1537-453X	0277-3732	0277-3732	eng	N	1982.0	Y	Y	IM	https://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00000421-000000000-00000	Y	1537-453X																																										yes
